epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,5321.71,0.52991,0.55124,0.90816,0.74418,0.90201,0.87212,0.75915,0.56136,0.53494,0.87592,0.000511769,0.000511769,0.000511769
72,5383.79,0.53128,0.55127,0.91181,0.75724,0.90027,0.87928,0.78166,0.5275,0.51405,0.8776,0.000495266,0.000495266,0.000495266
73,5443.99,0.5269,0.54499,0.91006,0.72368,0.93692,0.87276,0.76207,0.54116,0.52972,0.87475,0.000478762,0.000478762,0.000478762
74,5506.45,0.5292,0.54638,0.9088,0.71834,0.94232,0.87115,0.7637,0.53055,0.53534,0.87468,0.000462259,0.000462259,0.000462259
75,5568.48,0.52436,0.54555,0.90573,0.71527,0.94958,0.87753,0.76122,0.57701,0.54523,0.8862,0.000445756,0.000445756,0.000445756
76,5632.39,0.52082,0.53806,0.90894,0.74057,0.91798,0.87725,0.76541,0.55471,0.53949,0.87651,0.000429253,0.000429253,0.000429253
77,5694.53,0.51493,0.52455,0.90501,0.76779,0.89211,0.87636,0.77254,0.5387,0.53119,0.87332,0.000412749,0.000412749,0.000412749
78,5756.95,0.50937,0.53675,0.90192,0.73892,0.9168,0.86918,0.75258,0.59007,0.54695,0.88067,0.000396246,0.000396246,0.000396246
79,5819.9,0.51235,0.5297,0.90245,0.77396,0.88414,0.87602,0.77728,0.52645,0.52979,0.86566,0.000379743,0.000379743,0.000379743
80,5881.99,0.51274,0.53207,0.89658,0.74821,0.9081,0.86929,0.75964,0.55581,0.54095,0.8785,0.000363239,0.000363239,0.000363239
81,5943.75,0.51212,0.53228,0.89934,0.75352,0.91211,0.87311,0.7608,0.55036,0.53137,0.87883,0.000346736,0.000346736,0.000346736
82,6005.96,0.49946,0.52264,0.8961,0.73558,0.93171,0.87531,0.77399,0.52983,0.53476,0.87105,0.000330233,0.000330233,0.000330233
83,6069.41,0.50364,0.51711,0.89951,0.74591,0.90878,0.87202,0.77917,0.51687,0.53505,0.86948,0.000313729,0.000313729,0.000313729
84,6132.14,0.49482,0.50917,0.89136,0.73849,0.92921,0.87471,0.77903,0.52064,0.53068,0.86832,0.000297226,0.000297226,0.000297226
85,6194.47,0.50558,0.52077,0.89872,0.73918,0.91995,0.87392,0.77436,0.53062,0.53757,0.87329,0.000280723,0.000280723,0.000280723
86,6257.19,0.49124,0.50959,0.89196,0.76658,0.887,0.87644,0.77859,0.53141,0.53681,0.87358,0.00026422,0.00026422,0.00026422
87,6320.36,0.4904,0.50915,0.89173,0.77015,0.87324,0.87208,0.78185,0.51294,0.5512,0.86613,0.000247716,0.000247716,0.000247716
88,6384.52,0.49777,0.517,0.89709,0.75834,0.8963,0.87693,0.78237,0.51447,0.53838,0.86776,0.000231213,0.000231213,0.000231213
89,6446.68,0.49259,0.51626,0.89685,0.76502,0.89285,0.87491,0.77658,0.52625,0.53111,0.87544,0.00021471,0.00021471,0.00021471
90,6508.61,0.48349,0.50263,0.89445,0.74769,0.91281,0.8648,0.77593,0.51943,0.5439,0.87256,0.000198206,0.000198206,0.000198206
91,6608.47,0.39462,0.43828,0.83988,0.7394,0.92149,0.86854,0.76649,0.53042,0.53731,0.87531,0.000181703,0.000181703,0.000181703
92,6668.54,0.39067,0.4253,0.83775,0.73186,0.92896,0.8656,0.76552,0.52758,0.54818,0.87237,0.0001652,0.0001652,0.0001652
93,6730.1,0.38203,0.42126,0.83818,0.74492,0.89564,0.86829,0.77527,0.50942,0.53779,0.87092,0.000148696,0.000148696,0.000148696
94,6791.44,0.38195,0.41955,0.83765,0.75436,0.90352,0.87584,0.77531,0.52071,0.52735,0.87159,0.000132193,0.000132193,0.000132193
95,6853.28,0.37511,0.41226,0.83443,0.74291,0.91939,0.87655,0.77859,0.52542,0.5269,0.87158,0.00011569,0.00011569,0.00011569
96,6914.89,0.37536,0.41295,0.83257,0.75047,0.9065,0.87444,0.7841,0.49106,0.52777,0.86497,9.91865e-05,9.91865e-05,9.91865e-05
97,6976.74,0.37452,0.41111,0.83107,0.74815,0.91282,0.86979,0.77298,0.51426,0.52831,0.86959,8.26832e-05,8.26832e-05,8.26832e-05
98,7035.65,0.36528,0.40269,0.83437,0.74782,0.91129,0.87413,0.77447,0.52386,0.53868,0.87283,6.61799e-05,6.61799e-05,6.61799e-05
99,7096.18,0.36787,0.40505,0.83016,0.75501,0.91151,0.87237,0.77182,0.52455,0.53977,0.87083,4.96766e-05,4.96766e-05,4.96766e-05
100,7155.89,0.36822,0.39846,0.83365,0.74903,0.90581,0.87189,0.77553,0.50977,0.54608,0.86921,3.31733e-05,3.31733e-05,3.31733e-05
